,Filename,New Labels,Tobacco Label
129,1001889415.jpg,['Memo'],Memo
130,1001906916.jpg,"['Memo', 'Report']",Memo
131,10021964.jpg,['Letter'],Letter
132,10023383_10023387.jpg,['Scientific'],Scientific
133,1002404594.jpg,"['Memo', 'Report']",Memo
134,1002404720_1002404721.jpg,['Memo'],Memo
135,1002465404.jpg,['Note'],Note
136,1002907300.jpg,['Memo'],Memo
137,1002977842_1002977847.jpg,['Memo'],Memo
138,1003040251_1003040252.jpg,"['Memo', 'Report']",Memo
139,1003102483.jpg,"['Form', 'Report']",Form
140,1003120857.jpg,['Memo'],Memo
141,1003194341_1003194342.jpg,['Memo'],Memo
142,1003255575.jpg,"['Memo', 'Report']",Memo
143,10032894.jpg,['Letter'],Letter
144,1003387594.jpg,"['Memo', 'Report']",Memo
145,1003390961.jpg,['Memo'],Memo
146,1003479904.jpg,['Memo'],Memo
147,1003635090.jpg,['Memo'],Memo
148,1003640109.jpg,['Memo'],Memo
149,1003659451_1003659454.jpg,"['Memo', 'Report']",Memo
150,10036815_10036823.jpg,['Resume'],Resume
151,1003723216_1003723218.jpg,"['Memo', 'Report']",Memo
152,1003726646.jpg,['Scientific'],Scientific
153,1003726944.jpg,['Memo'],Memo
154,1004865799_1004865800.jpg,['Memo'],Memo
155,1005020149_1005020151.jpg,"['Report', 'Memo']",Memo
156,1005095578.jpg,['Memo'],Memo
157,10054448_10054450.jpg,['Scientific'],Scientific
158,10064589_10064594.jpg,['Scientific'],Scientific
159,10073624.jpg,"['Report', 'Scientific']",Scientific
160,10080510.jpg,['Report'],Note
161,10083703_10083706.jpg,['Scientific'],Scientific
162,10087799_10087801.jpg,['Resume'],Resume
163,10092523_10092530.jpg,['Scientific'],Scientific
164,10127889_10127890.jpg,"['Report', 'Scientific']",Report
165,10146565_10146568.jpg,['Scientific'],Scientific
166,10150247_10150256.jpg,['Resume'],Resume
167,10162340_10162342.jpg,['Letter'],Letter
168,10164982.jpg,['Letter'],Letter
169,10167656.jpg,['Report'],Report
170,10176813.jpg,['Report'],Report
171,10186148_10186155.jpg,['Scientific'],Scientific
172,10194471_10194474.jpg,['Scientific'],Scientific
173,10223631.jpg,['Letter'],Letter
174,10230391.jpg,['Letter'],Letter
175,10234326_10234328.jpg,"['Report', 'Scientific']",Scientific
176,10235850.jpg,['Letter'],Letter
177,10322990_10322994.jpg,['Scientific'],Scientific
178,10331632_10331638.jpg,['Scientific'],Scientific
179,10350601_10350605.jpg,['Scientific'],Scientific
180,10356461_10356469.jpg,['Scientific'],Scientific
181,10375498.jpg,['Letter'],Letter
182,10377432.jpg,['Letter'],Letter
183,10381924.jpg,['Letter'],Letter
184,10389325.jpg,['Letter'],Letter
185,10390058.jpg,['Letter'],Letter
186,10392535.jpg,['Letter'],Letter
187,10399765.jpg,['Letter'],Letter
188,10400989_10400990.jpg,['Scientific'],Scientific
189,10403212.jpg,['Letter'],Letter
190,10404393_10404399.jpg,['Scientific'],Scientific
191,10406749_10406751.jpg,['Scientific'],Scientific
192,10408675.jpg,"['Scientific', 'Report']",Scientific
193,10410310_10410313.jpg,['Scientific'],Scientific
194,10412046_10412049.jpg,['Scientific'],Scientific
195,10420278.jpg,['Scientific'],Scientific
196,10421720_10421729.jpg,['Scientific'],Scientific
197,10423065_10423068.jpg,['Report'],Report
198,10424400.jpg,['Letter'],Letter
199,10426975.jpg,['Letter'],Letter
200,10427746.jpg,['Letter'],Letter
201,10429748.jpg,['Letter'],Letter
202,10430661.jpg,['Letter'],Letter
203,10431489.jpg,['Letter'],Letter
204,10432401.jpg,['Letter'],Letter
205,11001828_11001829.jpg,['Letter'],Letter
206,11004538.jpg,['Report'],Report
207,11005495.jpg,['Memo'],Memo
208,11051592_11051597.jpg,['Scientific'],Scientific
209,11225239_11225242.jpg,['Report'],Report
210,11229835_11229851.jpg,"['Report', 'Scientific']",Scientific
211,11239042_11239045.jpg,['Report'],Report
212,11278338.jpg,['Note'],Note
213,11298506_11298508.jpg,"['Report', 'Scientific']",Report
214,11300115-0116.jpg,['Resume'],Resume
215,11306049_11306054.jpg,"['Report', 'Scientific']",Scientific
216,11309016_11309017.jpg,"['Report', 'Scientific']",Scientific
217,11314548.jpg,[],Scientific
218,11766882.jpg,['Memo'],Memo
219,11886054.jpg,"['Form', 'Memo']",Memo
220,12304582.jpg,['Resume'],Report
221,12850443.jpg,['Memo'],Memo
222,12997349.jpg,['Memo'],Memo
223,13055817.jpg,['Memo'],Memo
224,13091906.jpg,['Report'],Report
225,13313809.jpg,['Memo'],Memo
226,1331806.jpg,['Memo'],Memo
227,13497827.jpg,['Memo'],Memo
228,1349980.jpg,['Memo'],Memo
229,1368724.jpg,"['Report', 'Scientific']",Memo
230,1396849.jpg,['Memo'],Memo
231,2000457615_2000457620.jpg,"['Memo', 'Report']",Memo
232,2000485447.jpg,['Memo'],Memo
233,2000621665.jpg,['Memo'],Memo
234,2000621910.jpg,['Memo'],Memo
235,2000766495_2000766497.jpg,"['Memo', 'Report']",Memo
236,2000781804.jpg,"['Report', 'Scientific']",Scientific
237,2001004940.jpg,"['Memo', 'Note']",Note
238,2001116407.jpg,"['Report', 'Scientific']",Scientific
239,2010067199.jpg,['Memo'],Memo
240,2012517041.jpg,['Note'],Note
241,2012580836.jpg,['Memo'],Memo
242,2012581990.jpg,"['Memo', 'Report']",Memo
243,2015017717_2015017719.jpg,"['Memo', 'Report']",Memo
244,2015023714.jpg,"['Memo', 'Report']",Memo
245,2020134234.jpg,"['Memo', 'Report']",Memo
246,2020136618_2020136619.jpg,"['Memo', 'Report']",Memo
247,2020157078.jpg,"['Memo', 'Report']",Memo
248,2020226023.jpg,"['Report', 'Scientific']",Scientific
249,2020238777.jpg,"['Memo', 'Report']",Memo
250,2020268309.jpg,"['Memo', 'Report']",Memo
251,2020280503.jpg,"['Memo', 'Report']",Memo
252,2020340083.jpg,"['Memo', 'Report']",Memo
253,2021266006.jpg,['Memo'],Memo
254,2021284642.jpg,"['ADVE', 'Form']",ADVE
255,2021514201_2021514203.jpg,"['Memo', 'Report']",Memo
256,2021548067.jpg,['Memo'],Memo
257,2021596245.jpg,"['Memo', 'Note']",Note
258,2021601265.jpg,"['Memo', 'Report']",Memo
259,2021644184_4185.jpg,"['Report', 'Scientific']",Scientific
260,2022142525.jpg,"['Memo', 'Report']",Memo
261,2022143383.jpg,['Report'],Scientific
262,2022148121.jpg,['Report'],Scientific
263,2022158644.jpg,"['Report', 'Scientific']",Scientific
264,2022161599_2022161600.jpg,"['Memo', 'Report']",Memo
265,2022162411_2022162414.jpg,['Report'],Scientific
266,2022164378.jpg,['Memo'],Memo
267,2022165302_2022165304.jpg,"['Memo', 'Report']",Memo
268,2022172184.jpg,['Report'],Scientific
269,2022177049_2022177054.jpg,"['Memo', 'Report']",Memo
270,2022180658_0659.jpg,"['Memo', 'Report']",Memo
271,2022181033.jpg,"['Memo', 'Report']",Memo
272,2022184512_2022184519.jpg,"['Memo', 'Report']",Memo
273,2022202871.jpg,"['Report', 'Scientific']",Scientific
274,2022209162.jpg,['Memo'],Memo
275,2022210456_2022210457.jpg,"['Memo', 'Report']",Memo
276,2022233786.jpg,"['Memo', 'Report']",Memo
277,2022235106.jpg,"['Memo', 'Report']",Scientific
278,2022240598.jpg,"['Report', 'Scientific']",Scientific
279,2022244803_2022244805.jpg,"['Memo', 'Report']",Memo
280,2022249818.jpg,['Memo'],Memo
281,2022254267.jpg,['Memo'],Memo
282,2022923966.jpg,['Memo'],Memo
283,2022945385.jpg,['Scientific'],Scientific
284,2022948982.jpg,['Memo'],Memo
285,2023012813.jpg,['Memo'],Memo
286,2023100295_2023100303.jpg,['Resume'],Resume
287,2023105190.jpg,['Report'],Scientific
288,2023118626_2023118627.jpg,['Memo'],Memo
289,2023118657_2023118670.jpg,"['Memo', 'Report']",Memo
290,2023129971.jpg,['Note'],Scientific
291,2023286661.jpg,['Report'],Scientific
292,2023408782_2023408790.jpg,"['Memo', 'Report']",Memo
293,2023431005.jpg,['Memo'],Memo
294,2023437101.jpg,['Memo'],Memo
295,2023457760.jpg,['Report'],Scientific
296,2023539362_2023539363.jpg,"['Memo', 'Report']",Memo
297,2023551065_2023551066.jpg,"['Memo', 'Report']",Memo
298,2024072051_2024072053.jpg,"['Memo', 'Report']",Memo
299,2024257952.jpg,['Memo'],Memo
300,2024318141.jpg,"['Report', 'Form']",Scientific
301,2024371262.jpg,[],Scientific
302,2024412663.jpg,"['Memo', 'Report']",Memo
303,2024437773.jpg,['Report'],Scientific
304,2024438352.jpg,['Report'],Scientific
305,2024462000_2024462016.jpg,"['Memo', 'Report']",Memo
306,2024473886.jpg,['Note'],Form
307,2024547864_2024547866.jpg,"['Memo', 'Report']",Memo
308,2024816564_2024816570.jpg,"['Memo', 'Report']",Memo
309,2024817982_2024817996.jpg,"['Memo', 'Report']",Memo
310,2024821651_1652.jpg,"['Memo', 'Report']",Memo
311,2024836429_2024836430.jpg,"['Memo', 'Report']",Memo
312,2024850061_2024850070.jpg,"['Memo', 'Report']",Memo
313,2024939330.jpg,['Memo'],Memo
314,2024986135.jpg,"['Memo', 'Report']",Memo
315,2025040448.jpg,"['Note', 'Memo']",Form
316,2025441799.jpg,['Note'],Form
317,2025449419.jpg,"['Memo', 'Report']",Memo
318,2025492721_2738.jpg,['Report'],Scientific
319,2025562502.jpg,['Report'],Scientific
320,2025612606_2609.jpg,"['Memo', 'Report']",Memo
321,2025614641_2025614644.jpg,"['Memo', 'Report']",Memo
322,2025635504.jpg,['News'],News
323,2025827751.jpg,['Note'],Form
324,2025851048_2025851049.jpg,"['Memo', 'Note']",Memo
325,2025854306.jpg,['News'],News
326,2025875649.jpg,['Memo'],Memo
327,2025877604.jpg,"['Memo', 'Report']",Memo
328,2025887469.jpg,['Memo'],Memo
329,2026164697_2026164699.jpg,"['Memo', 'Report']",Memo
330,2026209134.jpg,['Report'],Scientific
331,2026374867_2026374868.jpg,"['Memo', 'Report']",Memo
332,2026402184.jpg,"['Report', 'Scientific']",Scientific
333,2026459463.jpg,"['Memo', 'Report']",Memo
334,2028445606.jpg,['Report'],Scientific
335,2028584557_2028584558.jpg,"['Memo', 'Report']",Memo
336,2028620226.jpg,['Report'],Scientific
337,2028626805.jpg,['Report'],Scientific
338,2028638180.jpg,['Report'],Scientific
339,2028704495.jpg,['Report'],Scientific
340,2028716785.jpg,['Report'],Scientific
341,2028840914.jpg,['Report'],Scientific
342,2028873122.jpg,['Report'],Scientific
343,2028897672.jpg,['Note'],Note
344,2028975962_2028975964.jpg,['Resume'],Resume
345,2028984183.jpg,['Report'],Note
346,2029041170_2029041171.jpg,"['Note', 'Form']",Form
347,2029130917.jpg,['Note'],Note
348,2029183905.jpg,['Note'],Note
349,2029198047_2029198056.jpg,"['Memo', 'Report']",Memo
350,2029198211.jpg,['Report'],Form
351,2030016727_2030016729.jpg,"['Memo', 'Report']",Memo
352,2030062998.jpg,['Memo'],Memo
353,2030139269.jpg,"['Form', 'Report']",Form
354,2030162652.jpg,['Form'],Form
355,2030471856.jpg,['Memo'],Memo
356,2030545412_2030545413.jpg,"['Memo', 'Report']",Memo
357,2030599494.jpg,['Form'],Form
358,2030974392.jpg,"['Memo', 'Note']",Memo
359,2031015329_2031015330.jpg,"['Memo', 'Report']",Memo
360,2031263025.jpg,['Memo'],Memo
361,2031400439_2031400441.jpg,"['Memo', 'Report']",Memo
362,2031426764.jpg,['Report'],Scientific
363,2031562974.jpg,"['Memo', 'Report']",Memo
364,2040287760_2040287794.jpg,"['Memo', 'Report']",Memo
365,2040324939.jpg,['Memo'],Memo
366,2040358117.jpg,['Memo'],Memo
367,2040465704.jpg,"['Memo', 'Report']",Memo
368,2040733938.jpg,"['Memo', 'Report']",Memo
369,2040759890.jpg,['Memo'],Memo
370,2040885396.jpg,"['Memo', 'Report']",Memo
371,2040907509.jpg,"['Memo', 'Report']",Memo
372,2040929289.jpg,['Memo'],Memo
373,2041060506_2041060507.jpg,"['Memo', 'Report']",Memo
374,2041102766.jpg,['Memo'],Memo
375,2041268603_2041268605.jpg,"['Memo', 'Report']",Memo
376,2041356925.jpg,['Memo'],Memo
377,2041400194.jpg,"['Memo', 'Report']",Memo
378,2041563228_2041563229.jpg,"['Memo', 'Report']",Memo
379,2041837000_2041837001.jpg,['Memo'],Memo
380,2041853500_2041853508.jpg,"['Memo', 'Report']",Memo
381,2041874888.jpg,['Memo'],Memo
382,2042014987.jpg,['Memo'],Memo
383,2042017254.jpg,['Memo'],Memo
384,2042111525_2042111534.jpg,"['Memo', 'Report']",Memo
385,2042374171_2042374174.jpg,"['Memo', 'Report']",Memo
386,2042389568_9570.jpg,"['Memo', 'Report']",Memo
387,2042404241.jpg,['Memo'],Memo
388,2042471428.jpg,"['Memo', 'Report']",Memo
389,2042506790_2042506791.jpg,"['Memo', 'Report']",Memo
390,2042790056_2042790059.jpg,"['Memo', 'Report']",Memo
391,2042812605.jpg,['Memo'],Memo
392,2042813526_2042813527.jpg,['Memo'],Memo
393,2043215175.jpg,['Memo'],Memo
394,2043230492_2043230503.jpg,['Memo'],Memo
395,2043230684_2043230686.jpg,"['Memo', 'Report']",Memo
396,2043616262_2043616266.jpg,"['Memo', 'Report']",Memo
397,2043894005.jpg,['Memo'],Memo
398,2043916652.jpg,"['Note', 'Letter']",Note
399,2044093019.jpg,['Memo'],Memo
400,2044175001_2044175002.jpg,['Memo'],Memo
401,2044183733.jpg,['Note'],Note
402,2044198652.jpg,['Memo'],Memo
403,2044300004.jpg,['Memo'],Memo
404,2044393287.jpg,['Memo'],Memo
405,2044801453.jpg,['Memo'],Memo
406,2045083823_2045083824.jpg,"['Memo', 'Report']",Memo
407,2045186816.jpg,['Memo'],Memo
408,2045187675_2045187679.jpg,['Memo'],Memo
409,2045373494_2045373496.jpg,"['Memo', 'Report']",Memo
410,2045476428_2045476436.jpg,"['Memo', 'Report']",Memo
411,2045482589_2590.jpg,['Memo'],Memo
412,2045845326.jpg,['Memo'],Memo
413,2046000414_2046000415.jpg,['Memo'],Memo
414,2046288261.jpg,['News'],News
415,2046538342.jpg,['Memo'],Memo
416,2046579981_2046579987.jpg,"['Memo', 'Report']",Memo
417,2046912122_2123.jpg,['Memo'],Memo
418,2047038707_8709.jpg,"['Memo', 'Report']",Memo
419,2047315478.jpg,['Memo'],Memo
420,2047441654.jpg,['Memo'],Memo
421,2047523173_3191.jpg,"['Memo', 'Report']",Memo
422,2047564059.jpg,['News'],News
423,2047921425.jpg,['Memo'],Memo
424,2047929185.jpg,['Memo'],Memo
425,2047932359_2047932361.jpg,"['Memo', 'Report']",Memo
426,2047934116.jpg,['Memo'],Memo
427,2048124824_4825.jpg,['Memo'],Memo
428,2048129510.jpg,"['Memo', 'Report']",Memo
429,2048150028.jpg,['Note'],Note
430,2048153405_2048153423.jpg,"['Memo', 'Report']",Memo
431,2048228137.jpg,['Memo'],Memo
432,2048240768_2048240769.jpg,['Memo'],Memo
433,2048305604.jpg,['Memo'],Memo
434,2048309984.jpg,['Memo'],Memo
435,2048714647.jpg,['Memo'],Memo
436,2048965327_2048965331.jpg,"['Memo', 'Report']",Memo
437,2049050527_2049050536.jpg,"['Memo', 'Report']",Memo
438,2049298600_2049298603.jpg,['Memo'],Memo
439,2049308509.jpg,['Memo'],Memo
440,2049386508_2049386509.jpg,"['Memo', 'Report']",Memo
441,2049461223.jpg,['Memo'],Memo
442,2050247507.jpg,['Report'],Scientific
443,2050258326.jpg,['Memo'],Memo
444,2050407409.jpg,['Form'],Form
445,2050531873_2050531874.jpg,"['Memo', 'Report']",Memo
446,2050754031-a.jpg,['Memo'],Form
447,2050794145.jpg,"['Memo', 'Report']",Memo
448,2050801870_1873.jpg,"['Memo', 'Report']",Memo
449,2050804253_2050804255.jpg,"['Memo', 'Report']",Memo
450,2050941553.jpg,['Memo'],Memo
451,2050959395_2050959399.jpg,"['Memo', 'Report']",Memo
452,2050984554.jpg,['Memo'],Memo
453,2051025161.jpg,['Report'],Scientific
454,2051034159.jpg,['Memo'],Memo
455,2051035077_5081.jpg,"['Memo', 'Report']",Memo
456,2051044337.jpg,['Memo'],Memo
457,2051063550.jpg,['Memo'],Memo
458,2051064987.jpg,['Memo'],Memo
459,2051080096.jpg,['Memo'],Memo
460,2051083199.jpg,"['Memo', 'Report']",Memo
461,2051110023.jpg,['Memo'],Memo
462,2051111206.jpg,['Memo'],Memo
463,2051115864.jpg,['Memo'],Memo
464,2051117086.jpg,['Memo'],Memo
465,2051122847.jpg,['Memo'],Memo
466,2051123179_2051123180.jpg,['Memo'],Memo
467,2051124321_2051124322.jpg,['Memo'],Memo
468,2051388902.jpg,['Form'],Form
469,2051443365.jpg,['Memo'],Memo
470,2051575345_2051575346.jpg,"['Report', 'Memo']",Memo
471,2051691699_2051691700.jpg,['Memo'],Memo
472,2051798475.jpg,['Memo'],Memo
473,2051989880_2051989881.jpg,"['Memo', 'Report']",Memo
474,2053471549.jpg,"['Memo', 'Report']",Memo
475,2053475725.jpg,['Report'],Scientific
476,2053522412.jpg,['Memo'],Memo
477,2053554806.jpg,"['Report', 'Note']",Scientific
478,2054504061_2054504063.jpg,['Memo'],Memo
479,2054524189.jpg,['Memo'],Memo
480,2054544305.jpg,['Memo'],Memo
481,2054547221.jpg,['Memo'],Memo
482,2054608832_2054608833.jpg,"['Memo', 'Report']",Memo
483,2054620205_2054620206.jpg,['Memo'],Memo
484,2054621429.jpg,['Memo'],Memo
485,2054641494.jpg,"['Memo', 'Report']",Memo
486,2054643904.jpg,['Memo'],Memo
487,2054767991_7992.jpg,['Memo'],Memo
488,2054838139_2054838140.jpg,['Memo'],Memo
489,2054857059.jpg,['Memo'],Memo
490,2054924695.jpg,['Memo'],Memo
491,2054927900_2054927901.jpg,['Memo'],Memo
492,2054944258.jpg,['Form'],Form
493,2054964454.jpg,['Memo'],Memo
494,2055043947_2055043948.jpg,"['Memo', 'Report']",Memo
495,2055054537.jpg,['Report'],Scientific
496,2055649545.jpg,['Memo'],Memo
497,2055663076.jpg,"['Report', 'Form']",Scientific
498,2056133713_2056133715.jpg,['Memo'],Memo
499,2056147164.jpg,"['Report', 'Note']",Scientific
500,2056172030_2056172032.jpg,"['Memo', 'Report']",Memo
501,2056174385_4386.jpg,"['Memo', 'Report']",Memo
502,2056291607.jpg,"['Memo', 'Report']",Memo
503,2056298359.jpg,['Report'],Scientific
504,2056445938_5940.jpg,['Report'],Scientific
505,2056550084_2056550086.jpg,['Memo'],Memo
506,2056706291.jpg,['Memo'],Memo
507,2056712540.jpg,['Report'],Scientific
508,2057143978_2057143979.jpg,"['Memo', 'Report']",Memo
509,2057154439_2057154440.jpg,"['Memo', 'Report']",Memo
510,2057274390_2057274393.jpg,"['Memo', 'Report']",Memo
511,2057274729_2057274731.jpg,"['Memo', 'Report']",Memo
512,2057342922_2947.jpg,['Report'],Scientific
513,2057353836.jpg,['Report'],Scientific
514,2057362082.jpg,"['Memo', 'Report']",Memo
515,2057612157.jpg,['Memo'],Scientific
516,2057702349.jpg,['Memo'],Memo
517,2057710690.jpg,"['Memo', 'Report']",Memo
518,2057718509_2057718511.jpg,"['Memo', 'Report']",Memo
519,2057722185_2057722186.jpg,"['Memo', 'Report']",Memo
520,2057729267_2057729278.jpg,"['Memo', 'Report']",Memo
521,2057762122_2057762125.jpg,"['Memo', 'Report']",Memo
522,2057775423.jpg,['Memo'],Memo
523,2058006466.jpg,"['Memo', 'Report']",Memo
524,2058089097.jpg,"['Memo', 'Report']",Memo
525,2058090026.jpg,['Memo'],Memo
526,2058122315_2058122318.jpg,"['Memo', 'Report']",Memo
527,2060084593_2060084599.jpg,['Memo'],Memo
528,2060133571.jpg,['Memo'],Memo
529,2060167949.jpg,['Memo'],Memo
530,2060347872_2060347873.jpg,['Memo'],Memo
531,2060353871-a_2060353872.jpg,"['Memo', 'Report']",Memo
532,2060384942_2060384946.jpg,"['Memo', 'Report']",Memo
533,2060528454_2060528455.jpg,"['Memo', 'Report']",Memo
534,2060570691.jpg,['Note'],Note
535,2061012559.jpg,"['ADVE', 'News']",ADVE
536,2061639550.jpg,['Memo'],Memo
537,2061648199.jpg,['Memo'],Memo
538,2061654420.jpg,['Memo'],Memo
539,2061670897.jpg,['Memo'],Memo
540,2061678550.jpg,['Memo'],Memo
541,2061839050.jpg,['Memo'],Memo
542,2061880058_0070.jpg,"['Memo', 'Report']",Memo
543,2061991348.jpg,['Report'],Scientific
544,2062035168.jpg,"['Memo', 'Report']",Scientific
545,2062090416.jpg,['Report'],Scientific
546,2062210337.jpg,['Memo'],Memo
547,2062304594.jpg,['Memo'],Memo
548,2062427064_2062427071.jpg,['Memo'],Memo
549,2062855890.jpg,"['Report', 'Scientific']",Scientific
550,2063435963.jpg,['Memo'],Memo
551,2063664717.jpg,"['Report', 'Scientific']",Scientific
552,2063695266_5268.jpg,"['Memo', 'Report']",Memo
553,2063871560.jpg,['Memo'],Form
554,2064233234.jpg,['Memo'],Memo
555,2064279128.jpg,['Memo'],Form
556,2064509602_9604.jpg,"['Memo', 'Report']",Memo
557,2064724557_4560.jpg,"['Memo', 'Report']",Memo
558,2064751581.jpg,['Report'],Scientific
559,2064835504.jpg,['Memo'],Memo
560,2065214163.jpg,['News'],News
561,2065224640_4641.jpg,['Memo'],Memo
562,2065268936_8938.jpg,['Memo'],Memo
563,2065281482_1483.jpg,['Memo'],Memo
564,2065322958.jpg,['Memo'],Memo
565,2065335800.jpg,['Memo'],Memo
566,2065372492_2495.jpg,['Report'],Scientific
567,2065411188.jpg,['Report'],Scientific
568,2065449140_9141.jpg,['Memo'],Memo
